degree,program,start_year,end_year,school,city,notes
PhD,Statistics & Data Science,2017,NA,Carnegie Mellon University,"Pittsburgh, PA",Advisors: Kathryn Roeder and Max G'Sell
MS,Statistics,2017,2018,Carnegie Mellon University,"Pittsburgh, PA",NA
BS,Statistics,2012,2015,Carnegie Mellon University,"Pittsburgh, PA","University Honors, GPA: 3.97/4.00"
