paper_id,title,authors,journal,status,pub_year,more_info
chancepunting19,Reducing concussions in the NFL: a data-driven approach,"K. Pelechrinis, R. Yurko, S. Ventura",CHANCE,Forthcoming,2019,NA
adareport19,Detecting data analysis patterns in text and graphs to characterize student workflows,R. Yurko,Advanced Data Analysis report,Published,2019,Advisor: Rebecca Nugent
