type,start_year,end_year,activity,activity_info
team_sports,2013,NA,Carnegie Mellon Intramural Sports,Captain: flag-football (2018 co-rec champions)
team_sports,2017,NA,Graduate Student Assembly Summer Sports,Co-captain: softball
team_sports,2013,2013,Carnegie Mellon University Club Baseball Team,NA
volunteering,2019,2019,Campaign Against Cancer,NA
runs,2016,NA,Pittsburgh Penguins 6.6K Run & Family Walk,https://www.mariolemieux.org/our-events/6-6k-run-and-family-walk/
runs,2017,NA,Pirates Home Run 5K 10K,https://www.mlb.com/pirates/community/race
runs,2017,NA,The Great Race,http://www.rungreatrace.com/
