type,role_title,start_year,end_year,advisors,project_title
ra,Research Assistant,2018,NA,"K. Roeder, M. G'Sell, B. Devlin",Applications of selective inference in statistical genetics
ra,Undergraduate Research Assistant,2015,2015,"S. Ventura, R. Nugent",PREDS: Prediction with Ensembles using Distribution Summaries
other,Undergraduate Research Course,2015,2015,"R. Nugent, P. Freeman",Classifying Kepler Objects of Interest
other,Independent Research,2014,2014,Andrew C. Thomas,The Science of Fooling Batters: An Objective Analysis of Pitch Sequencing
