paper_id,title,authors,journal,status,pub_year,url,website
nflwar19,nflWAR: a reproducible method for offensive player evaluation in football,"R. Yurko, S. Ventura, M. Horowitz",Journal of Quantitative Analysis in Sports,Published,2019,https://doi.org/10.1515/jqas-2018-0010,De Gruyter
goingdeep20,Going Deep: models for continuous-time within-play valuation of game outcomes in american football with tracking data,"R. Yurko, F. Matano, L. Richardson, N. Granered, T. Pospisil, K. Pelechrinis, S. Ventura",Journal of Quantitative Analysis in Sports,Published,2020,https://doi.org/10.1515/jqas-2019-0056,De Gruyter
nextgenscrapy20,Extracting NFL tracking data from images to evaluate quarterbacks and pass defenses,"S. Mallepalle, R. Yurko, K. Pelechrinis, S. Ventura",Journal of Quantitative Analysis in Sports,Published,2020,https://doi.org/10.1515/jqas-2019-0052,De Gruyter
defenseclustering20,Unsupervised methods for identifying pass coverage among defensive backs with NFL player tracking data,"R. Dutta, R. Yurko, S. Ventura",Journal of Quantitative Analysis in Sports,Published,2020,https://doi.org/10.1515/jqas-2020-0017,De Gruyter
adapt20,A selective inference approach for false discovery rate control using multiomics covariates yields insights into disease risk,"R. Yurko, M. G'Sell, K. Roeder, B. Devlin",Proceedings of the National Academy of Sciences,Published,2020,https://doi.org/10.1073/pnas.1918862117,PNAS
chancepunting19,Reducing concussions in the NFL: a data-driven approach,"K. Pelechrinis, R. Yurko, S. Ventura",CHANCE,Published,2019,https://doi.org/10.1080/09332480.2019.1695442,Taylor & Francis
hmagma20,"H‐MAGMA, inheriting a shaky statistical foundation, yields excess false positives","R. Yurko, K. Roeder, B. Devlin, M. G'Sell",Annals of Human Genetics,Published,2020,https://doi.org/10.1111/ahg.12412,Wiley
trap20,TRAP: A predictive framework for the assessment of performance in trail running,"R. Fogliato, N. Oliveira, R. Yurko",Journal of Quantitative Analysis in Sports,Published,2020,https://doi.org/10.1515/jqas-2020-0013,De Gruyter
